"id","pyoe_max","delta_max","second_delta_max","pyoe_min","delta_min","second_delta_min","pyoe_mean","delta_mean","second_delta_mean","pyoe","delta_first","second_delta_first","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickerId","returnerId","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","displayName"
"2020091301--3954",3.52093341827393,7.38114978931844,7.53015836700797,-0.880441179275508,-1.91903558373451,-6.99942352436483,1.58526110686362,0.00849461702940365,-0.0323959555632124,0.618791351318364,7.38114978931844,7.53015836700797,2020091301,3954,"(4:15) J.Gillan punts 41 yards to BAL 17, Center-C.Hughlett. J.Proche to BAL 26 for 9 yards (R.Jackson).",4,4,12,"CLE","Punt","Return",48139,52609,NA,"CLE",42,15300,NA,NA,NA,38,6,NA,41,9,32,52,"James Proche"
"2020091301--806",18.5595909118652,20.3504233360291,20.291410446167,-0.472700655460358,-3.38103294372559,-23.5052542686462,10.011557286761,-0.0491787294546763,-0.000242762493364739,14.381079864502,20.3504233360291,20.291410446167,2020091301,806,"A.Seibert kicks 66 yards from CLE 35 to BAL -1. D.Duvernay to BAL 37 for 38 yards (S.Redwine).",1,0,0,"CLE","Kickoff","Return",47953,52500,NA,"CLE",35,6060,NA,NA,NA,10,6,NA,66,38,28,45,"Devin Duvernay"
"2020091302--1155",17.2588613414764,3.33922934532166,3.06645727157593,-1.74609622955322,-2.52314376831055,-3.18806409835815,7.39624713506338,-0.0191902641980153,0.00176397921904078,15.1091490936279,3.33922934532166,3.06645727157593,2020091302,1155,"(15:00) B.Mann punts 47 yards to BUF 9, Center-T.Hennessy. A.Roberts to BUF 32 for 23 yards (T.Hennessy; F.Luvu).",2,4,3,"NYJ","Punt","Return",52599,35527,NA,"NYJ",44,54000,NA,NA,NA,14,0,NA,47,23,24,66,"Andre Roberts"
"2020091302--137",9.10450843811034,10.4587659835815,10.8389019966125,-2.29589252471924,-3.31081199645996,-10.2138347625732,1.64479899907019,-0.0305298650637269,0.00612812023609877,0.984412040710453,10.4587659835815,10.8389019966125,2020091302,137,"(13:58) B.Mann punts 58 yards to BUF 30, Center-T.Hennessy. A.Roberts to BUF 46 for 16 yards (R.Griffin, B.Cashman).",1,4,7,"NYJ","Punt","Return",52599,35527,NA,"NYJ",12,50280,NA,NA,NA,0,0,NA,58,16,42,22,"Andre Roberts"
"2020091302--2662",11.5082011222839,7.99330019950867,8.18514740467072,-3.27980770111084,-2.79831218719482,-8.1077516078949,3.07799953903755,-0.0087130531668663,0.00224276036024094,9.1557063293457,7.99330019950867,8.18514740467072,2020091302,2662,"(10:18) B.Mann punts 48 yards to BUF 17, Center-T.Hennessy. A.Roberts to BUF 36 for 19 yards (N.Hewitt).",3,4,7,"NYJ","Punt","Return",52599,35527,NA,"NYJ",35,37080,NA,NA,NA,21,3,NA,48,19,29,75,"Andre Roberts"
"2020091302--2987",8.47124206542968,28.5154345035553,28.5058055520058,-6.30201435089111,-3.61807250976562,-32.1335070133209,2.02100089607239,0.112742600440979,0.00144996285438538,-0.150318832397463,28.5154345035553,28.5058055520058,2020091302,2987,"S.Ficken kicks 64 yards from NYJ 35 to BUF 1. A.Roberts to BUF 32 for 31 yards (M.Farley).",3,0,0,"NYJ","Kickoff","Return",44240,35527,NA,"NYJ",35,18600,NA,NA,NA,21,10,NA,64,31,33,75,"Andre Roberts"
"2020091302--39",6.52804800033569,23.6750450134277,23.6750450134277,-4.89044483184814,-3.11619281768799,-23.4014949798584,1.53980092149032,0.0244580946470562,-0.00239107901589912,1.30495498657227,23.6750450134277,23.6750450134277,2020091302,39,"T.Bass kicks 63 yards from BUF 35 to NYJ 2. J.Malone to NYJ 28 for 26 yards (J.Poyer). PENALTY on NYJ-D.Brown, Illegal Block Above the Waist, 9 yards, enforced at NYJ 18.",1,0,0,"BUF","Kickoff","Return",52596,44941,NA,"BUF",35,54000,"IBW","NYJ 87",9,0,0,NA,63,16,56,75,"Josh Malone"
"2020091302--399",6.01211495399475,7.74077478051186,8.70743781328201,-1.52062213420868,-4.49567174911499,-7.16114854812622,1.5824956064754,0.0345465218027433,0.02494451817539,1.30227787017822,7.74077478051186,8.70743781328201,2020091302,399,"(9:37) B.Mann punts 45 yards to BUF 35, Center-T.Hennessy. A.Roberts to BUF 45 for 10 yards (A.Davis, R.Griffin).",1,4,9,"NYJ","Punt","Return",52599,35527,NA,"NYJ",20,34620,NA,NA,NA,0,0,NA,45,10,35,30,"Andre Roberts"
"2020091302--4149",-0.543073830604552,23.7783508300781,23.7783508300781,-9.57618209838867,-4.44873809814453,-24.3100719451904,-3.65832702378432,0.0484293897946676,0.0227403516570727,-7.95835083007813,23.7783508300781,23.7783508300781,2020091302,4149,"T.Bass kicks 67 yards from BUF 35 to NYJ -2. A.Davis to NYJ 14 for 16 yards (D.Marlowe).",4,0,0,"BUF","Kickoff","Return",52596,52476,NA,"BUF",35,11700,NA,NA,NA,27,10,NA,67,16,51,75,"Ashtyn Davis"
"2020091302--740",0.551251710653304,4.84665417671204,4.92679810523987,-8.97080722808838,-2.66450786590576,-4.14152550697327,-2.73976404735581,-0.0299664128910411,0.0106444807553833,-6.98771091461181,4.84665417671204,4.92679810523987,2020091302,740,"(5:21) B.Mann punts 43 yards to BUF 32, Center-T.Hennessy. A.Roberts to BUF 34 for 2 yards (T.Basham). PENALTY on BUF-G.Davis, Face Mask (15 Yards), 14 yards, enforced at BUF 32.",1,4,10,"NYJ","Punt","Return",52599,35527,NA,"NYJ",25,19260,"FMM","BUF 13",14,7,0,NA,43,0,57,35,"Andre Roberts"
"2020091303--1996",-0.717678189277649,25.3816278278828,27.0715635418892,-21.0719000244141,-14.467456817627,-31.2171764373779,-2.99887677426034,0.0728175798629193,0.0415037648474917,-5.88649017333985,25.3816278278828,27.0715635418892,2020091303,1996,"D.Carlson kicks 63 yards from LV 35 to CAR 2. P.Cooper to CAR 23 for 21 yards (D.Carrier). PENALTY on CAR-M.Davis, Illegal Double-Team Block, 11 yards, enforced at CAR 22.",3,0,0,"LV","Kickoff","Return",46236,43406,NA,"LV",35,54000,"IDT","CAR 28",11,15,17,NA,63,20,54,45,"Pharoh Cooper"
"2020091303--2143",18.8785091781616,11.7292724326253,11.7929625064135,-2.30295848846436,-4.28801298141479,-12.2907634451985,8.46480355865305,0.0257351605729623,0.00206245305863294,11.4341328430176,11.7292724326253,11.7929625064135,2020091303,2143,"(12:55) J.Charlton punts 60 yards to LV 22, Center-J.Jansen. H.Renfrow to LV 49 for 27 yards (J.Stanford; A.Taylor).",3,4,3,"CAR","Punt","Return",53146,47932,NA,"CAR",18,46500,NA,NA,NA,15,17,NA,60,27,33,92,"Hunter Renfrow"
"2020091303--2334",5.01832878112793,23.1040477454662,23.5829552412033,-7.3976469039917,-3.0623459815979,-24.3266048133373,-1.41835617102829,0.0767421716568517,-0.0506556565855064,1.71302635192872,23.1040477454662,23.5829552412033,2020091303,2334,"D.Carlson kicks 65 yards from LV 35 to CAR 0. P.Cooper pushed ob at CAR 24 for 24 yards (T.Mullen).",3,0,0,"LV","Kickoff","Return",46236,43406,NA,"LV",35,34680,NA,NA,NA,15,20,NA,65,24,41,45,"Pharoh Cooper"
"2020091303--2432",3.06355987548828,6.61177742481232,6.74579977989197,-9.27641212463379,-3.42909693717957,-7.03048622608185,-3.00962089459101,0.088403772740137,-0.00122909035001482,1.72524223327637,6.61177742481232,6.74579977989197,2020091303,2432,"(9:15) J.Charlton punts 60 yards to LV 26, Center-J.Jansen. H.Renfrow to LV 36 for 10 yards (T.Cannon). PENALTY on CAR-T.Cannon, Unsportsmanlike Conduct, 15 yards, enforced at LV 36.",3,4,20,"CAR","Punt","Return",53146,47932,NA,"CAR",14,33300,"UNS","CAR 36",-15,15,20,NA,60,10,35,96,"Hunter Renfrow"
"2020091303--3247",4.20346219539642,6.62259042263031,6.79107558727264,-3.4192137336731,-3.55955529212952,-7.52317988872528,-0.121435165677755,0.0337035076958793,0.0168964317866734,0.489457874298093,6.62259042263031,6.79107558727264,2020091303,3247,"(9:38) A.Cole punts 51 yards to CAR 13, Center-T.Sieg. P.Cooper to CAR 23 for 10 yards (A.Ingold).",4,4,12,"LV","Punt","Return",48335,43406,NA,"LV",36,34680,NA,NA,NA,22,27,NA,51,10,41,74,"Pharoh Cooper"
"2020091303--3621",5.99825317382812,19.9084401130676,19.6977734565735,-2.55192956924439,-2.26551818847656,-20.9679207801819,2.30183286014868,-0.0223089140288684,-0.0104697675121074,3.24309501647949,19.9084401130676,19.6977734565735,2020091303,3621,"D.Carlson kicks 62 yards from LV 35 to CAR 3. P.Cooper to CAR 30 for 27 yards (K.Wilber; T.Mullen).",4,0,0,"LV","Kickoff","Return",46236,43406,NA,"LV",35,14880,NA,NA,NA,30,34,NA,62,27,35,75,"Pharoh Cooper"
"2020091303--530",20.4782498931885,15.4029202461243,15.0733544826508,-3.95396339416504,-6.52464389801025,-17.0692963600159,6.37256910155369,-0.0330044159522423,0.00411928250239446,17.801383972168,15.4029202461243,15.0733544826508,2020091303,530,"D.Carlson kicks 66 yards from LV 35 to CAR -1. P.Cooper pushed ob at CAR 37 for 38 yards (D.Booker).",1,0,0,"LV","Kickoff","Return",46236,43406,NA,"LV",35,20820,NA,NA,NA,3,7,NA,66,38,28,45,"Pharoh Cooper"
"2020091304--1577",13.423169593811,25.4353890419006,25.3972156047821,-4.66987310409546,-4.05330085754395,-24.9427285194397,3.5147642433949,0.0341970676030868,0.00380023626180796,3.61167037963867,25.4353890419006,25.3972156047821,2020091304,1577,"J.Fox kicks 71 yards from DET 35 to CHI -6. C.Patterson pushed ob at CHI 23 for 29 yards (T.Walker).",2,0,0,"DET","Kickoff","Return",48258,39975,NA,"DET",35,19980,NA,NA,NA,6,3,NA,71,29,42,45,"Cordarrelle Patterson"
"2020091304--2017",7.82805330276489,10.7598338127136,11.8874759674072,-6.58924627304077,-3.59691715240479,-12.2270855903625,1.47753654109107,0.145690282185872,0.0992405811945597,2.63577007293701,10.7598338127136,11.8874759674072,2020091304,2017,"(:51) P.O'Donnell punts 55 yards to DET 31, Center-P.Scales. J.Agnew to DET 47 for 16 yards (D.Houston-Carson). PENALTY on CHI-C.Patterson, Player Out of Bounds on Kick, 5 yards, enforced at DET 47.",2,4,7,"CHI","Punt","Return",41420,44978,NA,"CHI",14,3060,"POK","CHI 84",-5,6,6,NA,55,16,34,96,"Jamal Agnew"
"2020091304--2213",11.8988909912109,24.1634124517441,23.0568339824677,-11.2074938964844,-3.78681182861328,-22.3062156438828,3.03001202353115,0.0935125988105248,0.0271203250720583,10.7700090789795,24.1634124517441,23.0568339824677,2020091304,2213,"J.Fox kicks 73 yards from DET 35 to CHI -8. C.Patterson pushed ob at CHI 28 for 36 yards (T.Walker).",2,0,0,"DET","Kickoff","Return",48258,39975,NA,"DET",35,1140,NA,NA,NA,13,6,NA,73,36,37,45,"Cordarrelle Patterson"
"2020091304--2283",7.36551239013672,20.0791530609131,20.9447474479675,-7.24201339721679,-12.8910961151123,-23.3228244781494,1.62606044346211,-0.116500661653631,0.0148311841721628,2.29014389038086,20.0791530609131,20.9447474479675,2020091304,2283,"C.Santos kicks 68 yards from CHI 35 to DET -3. J.Agnew to DET 28 for 31 yards (J.Woods; J.Iyiegbuniwe).",3,0,0,"CHI","Kickoff","Return",41991,44978,NA,"CHI",35,54000,NA,NA,NA,13,6,NA,68,31,37,75,"Jamal Agnew"
"2020091304--2918",22.6272447967529,28.7906064391136,28.7342604920268,-6.1870594406128,-5.59109210968018,-28.789793908596,10.7153081066929,0.00149085717414742,-0.00712735272610365,16.1972850799561,28.7906064391136,28.7342604920268,2020091304,2918,"J.Fox kicks 69 yards from DET 35 to CHI -4. C.Patterson to CHI 41 for 45 yards (J.Fox).",3,0,0,"DET","Kickoff","Return",48258,39975,NA,"DET",35,11940,NA,NA,NA,23,6,NA,69,45,24,45,"Cordarrelle Patterson"
"2020091304--3261",8.92683578491211,23.6081295013428,22.6880602836609,-7.0338851928711,-5.29317331314087,-25.3643684387207,2.48220718982173,-0.0954193157308242,-0.0252887104071823,1.91622871398926,23.6081295013428,22.6880602836609,2020091304,3261,"C.Santos kicks 68 yards from CHI 35 to DET -3. J.Agnew to DET 32 for 35 yards (D.Houston-Carson).",4,0,0,"CHI","Kickoff","Return",41991,44978,NA,"CHI",35,49140,NA,NA,NA,23,13,NA,68,35,33,45,"Jamal Agnew"
"2020091304--409",-1.00388566970825,1.899165391922,3.21858215332031,-6.94012546539307,-3.51897954940796,-3.50113582611084,-3.50451678180695,0.0331746578216553,0.0732325553894043,-3.78133398056031,1.36295509338379,0.725076198577881,2020091304,409,"(12:07) J.Fox punts 53 yards to CHI 25, Center-D.Muhlbach. T.Cohen to CHI 25 for no gain (T.McRae).",1,4,9,"DET","Punt","Return",48258,44932,NA,"DET",22,43620,NA,NA,NA,0,0,NA,53,0,53,88,"Tarik Cohen"
"2020091305--1828",9.56028511047363,15.5554020404816,15.3052742481232,-2.61542074203491,-1.85593271255493,-16.4868404865265,4.47114741622355,-0.0335666296774881,-0.0201966637059262,5.02696136474609,15.5554020404816,15.3052742481232,2020091305,1828,"L.Cooke kicks 57 yards from JAX 35 to IND 8. A.Dulin to IND 33 for 25 yards (A.Wingard).",2,0,0,"JAX","Kickoff","Return",46316,48118,NA,"JAX",35,5880,NA,NA,NA,14,14,NA,57,25,32,45,"Ashton Dulin"
"2020091305--2087",18.2290289306641,27.5754532814026,27.5754532814026,-6.1230701828003,-8.24948692321777,-26.6742062568665,8.80140643341597,0.0336681743000829,0.00210770895314771,8.09674346923828,27.5754532814026,27.5754532814026,2020091305,2087,"R.Sanchez kicks 70 yards from IND 35 to JAX -5. C.Claybrooks pushed ob at JAX 34 for 39 yards (M.Adams).",2,0,0,"IND","Kickoff","Return",45153,52631,NA,"IND",35,300,NA,NA,NA,14,17,NA,70,39,31,75,"Chris Claybrooks"
"2020091305--251",-1.05909398078919,19.9233722686768,20.2287002801895,-10.941312713623,-3.25566005706787,-20.9441890716553,-4.46198158527675,0.0150682800694516,0.000271135254910118,-10.941312713623,19.9233722686768,20.2287002801895,2020091305,251,"R.Blankenship kicks 63 yards from IND 35 to JAX 2. C.Claybrooks to JAX 13 for 11 yards (Z.Franklin).",1,0,0,"IND","Kickoff","Return",52751,52631,NA,"IND",35,42120,NA,NA,NA,0,7,NA,63,11,52,45,"Chris Claybrooks"
"2020091305--2732",5.56755458831787,22.8403643369675,22.9473234415054,-3.38056718826294,-3.42152118682861,-23.3624686002731,-0.00248426607676924,0.0200750170921793,-0.00803914362070512,-3.18223983764648,22.8403643369675,22.9473234415054,2020091305,2732,"L.Cooke kicks 68 yards from JAX 35 to IND -3. N.Hines to IND 21 for 24 yards (A.Wingard).",3,0,0,"JAX","Kickoff","Return",46316,46173,NA,"JAX",35,12600,NA,NA,NA,17,17,NA,68,24,44,75,"Nyheim Hines"
"2020091305--98",18.3174396514893,17.9066969752312,18.0510560274124,-1.65691409111023,-4.54191207885742,-17.2812868952751,6.16116801450502,0.012089917019232,0.00520884012108418,18.1128497314453,17.9066969752312,18.0510560274124,2020091305,98,"J.Lambo kicks 69 yards from JAX 35 to IND -4. A.Dulin to IND 37 for 41 yards (D.Thomas).",1,0,0,"JAX","Kickoff","Return",43068,48118,NA,"JAX",35,54000,NA,NA,NA,0,0,NA,69,41,28,75,"Ashton Dulin"
"2020091306--1009",5.88590761184692,16.5041561126709,16.5041561126709,-3.33420600891113,-3.53038215637207,-16.3916568756104,1.3724539832558,0.0463367061955588,0.00711490000997271,0.615843887329106,16.5041561126709,16.5041561126709,2020091306,1009,"B.Colquitt kicks 54 yards from MIN 20 to GB 26. T.Ervin to GB 44 for 18 yards (M.Boone).",2,0,0,"MIN","Kickoff","Return",34723,43408,NA,"MIN",20,41940,NA,NA,NA,7,5,NA,54,18,36,90,"Tyler Ervin"
"2020091306--1331",-1.65678226947784,1.47584819793701,0.84225332736969,-4.19717264175415,-0.789630770683289,-1.18903577327728,-2.53035970824105,0.307166372026716,-0.0595596177237374,-2.43641304016113,0.399405002593994,-0.436228036880493,2020091306,1331,"(6:11) B.Colquitt punts 40 yards to GB 40, Center-A.Cutting. T.Ervin to GB 40 for no gain (K.Boyd).",2,4,15,"MIN","Punt","Return",34723,43408,NA,"MIN",20,22260,NA,NA,NA,7,8,NA,40,0,40,90,"Tyler Ervin"
"2020091306--2790",1.37741706848145,25.0543343424797,25.0400812625885,-7.61774894714355,-3.01769471168518,-24.5850636363029,-1.67495296922781,0.0169280090574491,-0.0513889456199387,-0.0340061950683577,25.0543343424797,25.0400812625885,2020091306,2790,"M.Crosby kicks 68 yards from GB 35 to MIN -3. K.Osborn to MIN 23 for 26 yards (K.Hollman; W.Redmond).",3,0,0,"GB","Kickoff","Return",32386,52584,NA,"GB",35,540,NA,NA,NA,10,29,NA,68,26,42,45,"K.J. Osborn"
"2020091306--3176",12.9164205932617,25.402596950531,25.7621665000916,-1.80918584823608,-7.19748306274414,-29.8564085960388,4.53633176134605,-0.0382586240180229,0.00471661161435278,8.53260894775391,25.402596950531,25.7621665000916,2020091306,3176,"M.Crosby kicks 68 yards from GB 35 to MIN -3. K.Osborn to MIN 35 for 38 yards (K.Barnes).",4,0,0,"GB","Kickoff","Return",32386,52584,NA,"GB",35,36120,NA,NA,NA,18,36,NA,68,38,30,75,"K.J. Osborn"
"2020091307--1363",1.31765735149384,7.70246022939682,7.73508062958717,-5.97122932434083,-3.54710340499878,-6.02144283056259,-1.77730496166244,-0.00156372288862864,-0.00623138863888998,-2.40131536483764,7.70246022939682,7.73508062958717,2020091307,1363,"(2:26) J.Bailey punts 55 yards to MIA 11, Center-J.Cardona. J.Grant to MIA 8 for -3 yards (C.Davis; B.Copeland).",2,4,1,"NE","Punt","Return",47946,43475,NA,"NE",34,8760,NA,NA,NA,7,3,NA,55,-3,58,44,"Jakeem Grant"
"2020091308--1073",-0.0222079229354861,5.26581192016602,4.81257653236389,-6.49136833190918,-2.1316385269165,-5.87945365905762,-2.90990687754419,-0.0405145453082191,-0.0190253489547306,-6.07316799163818,5.26581192016602,4.81257653236389,2020091308,1073,"(13:30) C.Johnston punts 53 yards to WAS 13, Center-R.Lovato. S.Sims to WAS 15 for 2 yards (R.Ford).",2,4,13,"PHI","Punt","Return",45603,48051,NA,"PHI",34,48600,NA,NA,NA,0,10,NA,53,2,51,76,"Steven Sims"
"2020091308--1597",6.82118605136871,2.71855401992798,4.97699630260468,-5.25016834259033,-5.3392767906189,-8.05783081054688,1.04945300769806,-0.0554972171783447,-0.0668322086334228,-0.3977385520935,0.378349781036377,0.429054737091064,2020091308,1597,"(5:29) T.Way punts 48 yards to PHI 10, Center-N.Sundberg. G.Ward to PHI 18 for 8 yards (C.Holcomb).",2,4,13,"WAS","Punt","Return",40600,45607,NA,"WAS",42,19740,NA,NA,NA,0,17,NA,48,8,40,52,"Greg Ward"
"2020091308--2104",-0.574993550777435,2.9223518371582,2.46584320068359,-13.1402350616455,-2.8606538772583,-4.6444034576416,-6.29837831486103,-0.133824460728224,-0.0634312837622887,-6.86012554168701,1.28068017959595,-1.23837113380432,2020091308,2104,"(:20) C.Johnston punts 59 yards to WAS 16, Center-R.Lovato. S.Sims to WAS 16 for no gain (M.Epps).",2,4,10,"PHI","Punt","Return",45603,48051,NA,"PHI",25,1200,NA,NA,NA,7,17,NA,59,0,59,85,"Steven Sims"
"2020091308--2248",7.01002879142761,7.11369623988867,8.00051259994507,-6.17502994537353,-7.22502994537354,-14.3387261852622,2.99236401928019,0.0230806190140393,0.0259360837541064,3.23069122314453,6.29930877685547,6.4886237680912,2020091308,2248,"(13:36) C.Johnston punts 62 yards to WAS 5, Center-R.Lovato. S.Sims to WAS 16 for 11 yards (R.Ford).",3,4,2,"PHI","Punt","Return",45603,48051,NA,"PHI",33,48960,NA,NA,NA,7,17,NA,62,11,51,77,"Steven Sims"
"2020091308--2880",5.02000000000001,4.44882154464722,3.5517737865448,-2.36826057434081,-1.96868252754211,-4.25739336013794,1.1484736927617,-0.0730332863040087,-0.0218792136122541,2.78681371688843,4.44882154464722,3.5517737865448,2020091308,2880,"(4:08) T.Way punts 51 yards to PHI 16, Center-N.Sundberg. J.Reagor to PHI 27 for 11 yards (D.Everett). PENALTY on PHI-D.Taylor, Illegal Block Above the Waist, 10 yards, enforced at PHI 22.",3,4,20,"WAS","Punt","Return",40600,52429,NA,"WAS",33,14880,"IBW","PHI 52",10,14,17,NA,51,6,55,43,"Jalen Reagor"
"2020091309--1662",21.3014304351807,14.7417440414429,14.2732434272766,-9.1711817932129,-6.6395959854126,-12.6811532974243,5.53051835203171,-0.0576984695025853,-0.00948085444314139,21.3014304351807,14.7417440414429,14.2732434272766,2020091309,1662,"T.Long kicks 67 yards from LAC 35 to CIN -2. B.Wilson to CIN 42 for 44 yards (T.Long).",2,0,0,"LAC","Kickoff","Return",42663,45020,NA,"LAC",35,25800,NA,NA,NA,7,3,NA,67,44,23,45,"Brandon Wilson"
"2020091309--2783",11.7086205291748,18.6036205291748,18.6036205291748,-2.32970070838928,-5.38402462005615,-18.8870391845703,3.77026271261018,0.0401672535929187,-0.0017821295508023,1.59637947082519,18.6036205291748,18.6036205291748,2020091309,2783,"(7:53) T.Long punts 63 yards to CIN 10, Center-C.Mazza. A.Erickson to CIN 32 for 22 yards (D.King II).",3,4,8,"LAC","Punt","Return",42663,43663,NA,"LAC",27,28380,NA,NA,NA,10,6,NA,63,22,41,83,"Alex Erickson"
